name,manufacturer,series,msrp,core_count,core_speed,boost_speed,tdp,socket,photo
AMD Ryzen 3 1200 (12nm),AMD ,Ryzen 3,105,4,3.1,3.4,65,,
AMD Ryzen 3 1200 (14nm),AMD ,Ryzen 3,105,4,3.1,3.4,65,,
AMD Ryzen 3 1300X,AMD ,Ryzen 3,,4,3.5,3.7,65,,
AMD Ryzen 3 2200G,AMD ,Ryzen 3,130,4,3.5,3.7,65,,
AMD Ryzen 3 3100,AMD ,Ryzen 3,170,4,3.6,3.9,65,,
AMD Ryzen 3 3200G,AMD ,Ryzen 3,81.39,4,3.6,4,65,,
AMD Ryzen 3 3300X,AMD ,Ryzen 3,150,4,3.8,4.3,65,,
AMD Ryzen 3 4100,AMD ,Ryzen 3,68.98,4,3.8,4,65,,
AMD Ryzen 5 1400,AMD ,Ryzen 5,110,4,3.2,3.4,65,,
AMD Ryzen 5 1500X,AMD ,Ryzen 5,195,4,3.5,3.7,65,,
AMD Ryzen 5 1600 (12nm),AMD ,Ryzen 5,120,6,3.2,3.6,65,,
AMD Ryzen 5 1600 (14nm),AMD ,Ryzen 5,256.07,6,3.2,3.6,65,,
AMD Ryzen 5 1600X,AMD ,Ryzen 5,119.99,6,3.6,4,95,,
AMD Ryzen 5 2400G,AMD ,Ryzen 5,135,4,3.6,3.9,65,,
AMD Ryzen 5 2600,AMD ,Ryzen 5,150,6,3.4,3.9,65,,
AMD Ryzen 5 2600X,AMD ,Ryzen 5,195,6,3.6,4.2,95,,
AMD Ryzen 5 3400G,AMD ,Ryzen 5,98.15,4,3.7,4.2,65,,
AMD Ryzen 5 3500,AMD ,Ryzen 5,,6,3.6,4.1,65,,
AMD Ryzen 5 3500X,AMD ,Ryzen 5,,6,3.6,4.1,65,,
AMD Ryzen 5 3600,AMD ,Ryzen 5,84,6,3.6,4.2,65,,
AMD Ryzen 5 3600X,AMD ,Ryzen 5,210,6,3.8,4.4,95,,
AMD Ryzen 5 3600XT,AMD ,Ryzen 5,,6,3.8,4.5,95,,
AMD Ryzen 5 4500,AMD ,Ryzen 5,72.77,6,3.6,4.1,65,,
AMD Ryzen 5 4600G,AMD ,Ryzen 5,95.16,6,3.7,4.2,65,,
AMD Ryzen 5 5500,AMD ,Ryzen 5,91.53,6,3.6,4.2,65,,
AMD Ryzen 5 5500GT,AMD ,Ryzen 5,115,6,3.6,4.4,65,,
AMD Ryzen 5 5600,AMD ,Ryzen 5,129.99,6,3.5,4.4,65,,
AMD Ryzen 5 5600G,AMD ,Ryzen 5,134.48,6,3.9,4.4,65,,
AMD Ryzen 5 5600GT,AMD ,Ryzen 5,130,6,3.6,4.6,65,,
AMD Ryzen 5 5600X,AMD ,Ryzen 5,144.31,6,3.7,4.6,65,,
