id,name,manufacturer,msrp,fps_1080p_medium,fps_1080p_ultra,fps_1440p_ultra,fps_4k_ultra,gpu_chip_model,cuda_cores,boost_clock,memory,memory_bandwidth,power_consumption
1,GeForce RTX 5090,GeForce,2000,1,1,1,1,GB202,21760,2407, 32GB GDDR7@28Gbps,1792,575
2,GeForce RTX 4090,GeForce,1600,0.985,0.949,0.882,0.807,AD102,16384,2520, 24GB GDDR6X@21Gbps,1008,450
3,GeForce RTX 5080,GeForce,1000,0.904,0.849,0.781,0.672,GB203,10752,2617, 16GB GDDR7@30Gbps,690,360
4,GeForce RTX 4080 Super,GeForce,1000,0.882,0.824,0.735,0.615,AD103,10240,2550, 16GB GDDR6X@23Gbps,736,320
5,Radeon RX 7900 XTX,Radeon,1000,0.881,0.794,0.718,0.608,Navi 31,6144,2500, 24GB GDDR6@20Gbps,960,355
6,GeForce RTX 5070 Ti,GeForce,750,0.858,0.791,0.71,0.587,GB203,8960,2452, 16GB GDDR7@28Gbps,896,300
7,Radeon RX 9070 XT,Radeon,600,0.856,0.761,0.687,0.576,Navi 48,4096,2970, 16GB GDDR6@20Gbps,640,304
8,GeForce RTX 4070 Ti Super,GeForce,800,0.808,0.737,0.64,0.514,AD103,8448,2610, 16GB GDDR6X@21Gbps,672,285
9,Radeon RX 7900 XT,Radeon,750,0.813,0.723,0.639,0.516,Navi 31,5376,2400, 20GB GDDR6@20Gbps,800,315
10,Radeon RX 9070,Radeon,550,0.796,0.696,0.611,0.502,Navi 48,3584,2520, 16GB GDDR6@20Gbps,640,220
11,GeForce RTX 4070 Ti,GeForce,800,0.778,0.703,0.598,0.471,AD104,7680,2610, 12GB GDDR6X@21Gbps,504,285
12,GeForce RTX 5070,GeForce,550,0.746,0.675,0.568,0.449,GB205,6144,2512, 12GB GDDR7@28Gbps,672,250
13,GeForce RTX 4070 Super,GeForce,600,0.739,0.666,0.558,0.434,AD104,7168,2475, 12GB GDDR6X@21Gbps,504,220
14,Radeon RX 7800 XT,Radeon,500,0.673,0.572,0.486,0.385,Navi 32,3840,2430, 16GB GDDR6@19.5Gbps,624,263
15,GeForce RTX 4070,GeForce,550,0.656,0.585,0.479,0.372,AD104,5888,2475, 12GB GDDR6X@21Gbps,504,200
16,Radeon RX 7600 XT,Radeon,330,0.434,0.367,0.294,0.214,Navi 33,2048,2755, 16GB GDDR6@18Gbps,288,190
17,Intel Arc B580,Intel,250,0.414,0.358,0.302,0.237,BMG-G21,2560,2850, 12GB GDDR6@19Gbps,456,190
18,GeForce RTX 4060,GeForce,300,0.426,0.369,0.284,0.161,AD107,3072,2460, 8GB GDDR6@17Gbps,272,115
19,GeForce RTX 3060 12GB,GeForce,330,0.355,0.307,0.244,0.189,GA106,3584,1777, 12GB GDDR6@15Gbps,360,170
20,Intel Arc B570,Intel,220,0.366,0.303,0.246,0.152,BMG-G21,2304,2750, 10GB GDDR6@19Gbps,380,150
21,Intel Arc A770 16GB,Intel,330,0.321,0.298,0.257,0.21,ACM-G10,4096,2400, 16GB GDDR6@17.5Gbps,560,225
22,Radeon RX 7600,Radeon,270,0.406,0.271,0.197,0.12,Navi 33,2048,2655, 8GB GDDR6@18Gbps,288,165
23,Intel Arc A750,Intel,200,0.29,0.258,0.216,0.159,ACM-G10,3584,2350, 8GB GDDR6@16Gbps,512,225
24,Radeon RX 6600,Radeon,330,0.325,0.236,0.169,0.116,Navi 23,1792,2491, 8GB GDDR6@14Gbps,224,132
25,GeForce RTX 4080,GeForce,,0.966285,0.905346,0.787626,0.62946,AD103,9728,2505, 16GB GDDR6X@22.4Gbps,717,320
26,Radeon RX 7900 GRE,Radeon,,0.926885,0.836069,0.68796,0.488235,Navi 31,5120,2245, 16GB GDDR6@18Gbps,576,260
27,Radeon RX 6950 XT,Radeon,,0.903245,0.803803,0.664146,0.472902,Navi 21,5120,2310, 16GB GDDR6@18Gbps,576,335
28,GeForce RTX 3090 Ti,GeForce,,0.891425,0.803803,0.680022,0.535041,GA102,10752,1860, 24GB GDDR6X@21Gbps,1008,450
29,GeForce RTX 3090,GeForce,,0.875665,0.772486,0.63945,0.498726,GA102,10496,1695, 24GB GDDR6X@19.5Gbps,936,350
30,Radeon RX 6900 XT,Radeon,,0.88256,0.767741,0.616518,0.431745,Navi 21,5120,2250, 16GB GDDR6@16Gbps,512,300
