name,manufacturer,msrp,nvme_slot_count,ethernet,photo,socket,form_factor,max_memory,memory_slots,color
MSI B650 GAMING PLUS WIFI,MSI ,169.99,,,,AM5,ATX,192,4,Black
Asus ROG STRIX B650-A GAMING WIFI,Asus ,199.99,,,,AM5,ATX,192,4,Black / Silver
MSI B760 GAMING PLUS WIFI,MSI ,159.99,,,,LGA1700,ATX,192,4,Black / Silver
MSI PRO Z790-A MAX WIFI,MSI ,239.99,,,,LGA1700,ATX,192,4,Silver / Black
MSI B550 GAMING GEN3,MSI ,99.99,,,,AM4,ATX,128,4,Black
MSI B450M-A PRO MAX II,MSI ,69.98,,,,AM4,Micro ATX,64,2,Black
MSI MAG B650 TOMAHAWK WIFI,MSI ,199.99,,,,AM5,ATX,192,4,Black
Gigabyte B650 GAMING X AX,Gigabyte ,179.99,,,,AM5,ATX,192,4,Black / Gray
Asus PRIME B550M-A WIFI II,Asus ,104.99,,,,AM4,Micro ATX,128,4,Blue / Silver
ASRock B650M Pro RS WiFi,ASRock ,149.99,,,,AM5,Micro ATX,192,4,Black / Silver
ASRock B660M Pro RS,ASRock ,94.99,,,,LGA1700,Micro ATX,128,4,Gray / Black
MSI PRO B650M-P,MSI ,119.99,,,,AM5,Micro ATX,192,4,Black / Silver
Asus TUF GAMING Z790-PRO WIFI,Asus ,279.99,,,,LGA1700,ATX,192,4,Black
MSI MAG X670E TOMAHAWK WIFI,MSI ,259.99,,,,AM5,ATX,192,4,Black
MSI PRO Z790-P WIFI,MSI ,199.99,,,,LGA1700,ATX,192,4,Black / Silver
MSI MAG B550 TOMAHAWK MAX WIFI,MSI ,159.99,,,,AM4,ATX,128,4,Silver / Black
Asus ROG STRIX B550-F GAMING WIFI II,Asus ,189.99,,,,AM4,ATX,128,4,Black / Red
MSI PRO B650M-A WIFI,MSI ,156.99,,,,AM5,Micro ATX,192,4,Black
ASRock B650I Lightning Wifi,ASRock ,199.99,,,,AM5,Mini ITX,96,2,Black
MSI B550M PRO-VDH WIFI,MSI ,99.99,,,,AM4,Micro ATX,128,4,Black
MSI PRO B650-S WIFI,MSI ,139.99,,,,AM5,ATX,192,4,Black
Gigabyte B650 EAGLE AX,Gigabyte ,169.99,,,,AM5,ATX,192,4,Gray / Black
Asus ROG STRIX B650E-F GAMING WIFI,Asus ,259.99,,,,AM5,ATX,192,4,Black
